"","Taxa_info","t_value","mean_difference","p_value"
"1","Basidiobolus",-9.39890028474017,-1.52391568786862,3.08922534097825e-05
"2","Chaetomium",-4.23192705984965,-2.23607369610158,3.08922534097825e-05
"3","Piromyces",-4.71272266080201,-1.84137195760739,3.08922534097825e-05
"4","Puccinia",-4.83231962731897,-0.589302544163149,3.08922534097825e-05
"5","Rhizophagus",3.89696677712039,2.82922568964487,3.08922534097825e-05
"6","Rozella",-8.63896973922457,-1.33339955864419,3.08922534097825e-05
"7","Spizellomyces",2.80058564051606,0.629051465930835,3.08922534097825e-05
"8","Synchytrium",-8.39219645877944,-2.06529835899131,3.08922534097825e-05
